,1,2,3,4,5,sum,low_sum,high_sum,high_low_ratio
～2つ半,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
内容が支離滅裂,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
内容も薄い,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
となる本,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
とにかくまわりくどい,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
とのこと,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
とは…,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
内容と思う,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
とほほという感じ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
内容でした,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,inf
内容である,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,inf
内容が無い,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
と大差ない,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
冷ややかだった,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
内容がない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
と思う,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
共感しない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
と思うくらい,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
全く分からない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
全くわからない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
個性を出す,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,inf
個性」について,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
と考えます,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
俺の意見,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
再確認できた,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
出ている,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
というものだ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
といった感想です,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
反応でしょう,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
